Select ,CRN ,Subj ,Crse ,Sec ,Cmp ,Cred ,Part of Term ,Title ,Days ,Time ,Cap ,Act ,Rem ,Instructor ,Date (MM/DD) ,Location ,Attribute
  ,  ,  ,  ,  ,  ,  ,  ,  ,MW ,09:40 am-10:30 am ,  ,  ,  ,Patrick B. O'Keefe (P) ,10/23-12/08 ,SWGN 1D39 , 
SR ,16722,CSCE ,215,852,COL ,1,3B - Columbia Second Half Term ,UNIX/Linux Fundamentals ,MW ,08:30 am-09:20 am ,16,6,10,Patrick B. O'Keefe (P) ,10/23-12/08 ,SWGN 2A14 , 
  ,  ,  ,  ,  ,  ,  ,  ,  ,MW ,10:50 am-11:40 am ,  ,  ,  ,Patrick B. O'Keefe (P) ,10/23-12/08 ,SWGN 1D39 , 
SR ,16723,CSCE ,215,853,COL ,1,3B - Columbia Second Half Term ,UNIX/Linux Fundamentals ,MW ,08:30 am-09:20 am ,16,5,11,Patrick B. O'Keefe (P) ,10/23-12/08 ,SWGN 2A14 , 
  ,  ,  ,  ,  ,  ,  ,  ,  ,MW ,12:00 pm-12:50 pm ,  ,  ,  ,Patrick B. O'Keefe (P) ,10/23-12/08 ,SWGN 1D39 , 
SR ,24735,CSCE ,215,854,COL ,1,3B - Columbia Second Half Term ,UNIX/Linux Fundamentals ,MW ,08:30 am-09:20 am ,16,3,13,Patrick B. O'Keefe (P) ,10/23-12/08 ,SWGN 2A14 , 
  ,  ,  ,  ,  ,  ,  ,  ,  ,MW ,01:10 pm-02:00 pm ,  ,  ,  ,Patrick B. O'Keefe (P) ,10/23-12/08 ,SWGN 1D39 , 
SR ,12774,CSCE ,240,1,COL ,3,30 - Columbia Full Term ,Introduction to Software Engineering ,TR ,02:50 pm-04:05 pm ,78,61,17,Duncan A. Buell (P) ,08/24-12/08 ,300MN B201 , 
SR ,15493,CSCE ,240,2,COL ,3,30 - Columbia Full Term ,Introduction to Software Engineering ,MWF ,01:10 pm-02:00 pm ,66,56,10,Homayoun Valafar (P) ,08/24-12/08 ,SWGN 2A14 , 
SR ,17347,CSCE ,240,3,COL ,3,30 - Columbia Full Term ,Introduction to Software Engineering ,MWF ,02:20 pm-03:10 pm ,49,21,28,Casey Anne Cole (P) ,08/24-12/08 ,SWGN 2A31 , 
SR ,24804,CSCE ,240,H01 ,COL ,3,30 - Columbia Full Term ,HNRS: Introduction to Software Engineering ,TR ,10:05 am-11:20 am ,24,18,6,Duncan A. Buell (P) ,08/24-12/08 ,SWGN 2A24 ,SC Honors College
SR ,17760,CSCE ,274,1,COL ,3,30 - Columbia Full Term ,Robotic Applications and Design ,TR ,04:25 pm-05:40 pm ,36,35,1,Ioannis M Rekleitis (P) ,08/24-12/08 ,300MN B112 , 
SR ,20720,CSCE ,274,2,COL ,3,30 - Columbia Full Term ,Robotic Applications and Design ,TR ,06:00 pm-07:15 pm ,36,18,18,Alberto Quattrini Li (P) ,08/24-12/08 ,300MN B112 , 
SR ,11740,CSCE ,311,1,COL ,3,30 - Columbia Full Term ,Operating Systems ,TR ,08:30 am-09:45 am ,66,48,18,Ahmed Shehab Khan (P) ,08/24-12/08 ,SWGN 2A14 , 
SR ,17346,CSCE ,311,2,COL ,3,30 - Columbia Full Term ,Operating Systems ,TR ,04:25 pm-05:40 pm ,66,65,1,Jeremy Shane Lewis (P) ,08/24-12/08 ,SWGN 2A14 , 
SR ,12780,CSCE ,330,1,COL ,3,30 - Columbia Full Term ,Programming Language Structures ,TR ,01:15 pm-02:30 pm ,66,63,3,Marco Valtorta (P) ,08/24-12/08 ,300MN B213 , 
SR ,17974,CSCE ,330,2,COL ,3,30 - Columbia Full Term ,Programming Language Structures ,MW ,04:40 pm-05:55 pm ,66,48,18,James Paul O'Reilly (P) ,08/24-12/08 ,SWGN 2A14 , 
C ,13801,CSCE ,350,1,COL ,3,30 - Columbia Full Term ,Data Structures and Algorithms ,TR ,10:05 am-11:20 am ,50,57,-7,Gabriel Alin Terejanu (P) ,08/24-12/08 ,300MN B201 , 
SR ,17363,CSCE ,350,2,COL ,3,30 - Columbia Full Term ,Data Structures and Algorithms ,MW ,08:05 am-09:20 am ,49,46,3,Neema Jeevan Kanapala (P) ,08/24-12/08 ,SWGN 2A27 , 
SR ,14193,CSCE ,355,1,COL ,3,30 - Columbia Full Term ,Foundations of Computation ,TR ,11:40 am-12:55 pm ,78,71,7,Stephen A. Fenner (P) ,08/24-12/08 ,300MN B201 , 
C ,12791,CSCE ,390,1,COL ,1,30 - Columbia Full Term ,Professional Issues in Computer Science and Engineering ,R ,06:00 pm-06:50 pm ,125,125,0,Marco Valtorta (P) ,08/24-12/08 ,SWGN 1C01 ,VSR Values/Ethics
C ,12795,CSCE ,416,1,COL ,3,30 - Columbia Full Term ,Introduction to Computer Networks ,TR ,02:50 pm-04:05 pm ,100,100,0,Srihari Nelakuditi (P) ,08/24-12/08 ,JONES 002 , 
C ,14191,CSCE ,490,1,COL ,3,30 - Columbia Full Term ,Capstone Computing Project I ,  ,TBA ,120,120,0,Jose M Vidal (P) ,08/24-12/08 ,TBA ,GLD: Research and INT Integrative
C ,15590,CSCE ,490,2,COL ,3,30 - Columbia Full Term ,Capstone Computing Project I ,  ,TBA ,40,52,-12,Jose M Vidal (P) ,08/24-12/08 ,TBA ,GLD: Research and INT Integrative
C ,12613,CSCE ,498,1,COL ,1.000-3.000 ,30 - Columbia Full Term ,Independent Study ,  ,TBA ,1,1,0,Jason Daniel Bakos (P) ,08/24-12/08 ,TBA ,GLD: Research
