Select,CRN,Subj,Crse,Sec,Cmp,Cred,Part of Term,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM/DD),Location,Attribute,
NR,12458,EMCH,799,24,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Anthony Michael Scopatz (P),08/24-12/08,TBA, ,
NR,12459,EMCH,799,25,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Tarek Michael Shazly (P),08/24-12/08,TBA, ,
NR,12460,EMCH,799,26,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Michael Albert Sutton (P),08/24-12/08,TBA, ,
NR,12461,EMCH,799,27,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Guiren Wang (P),08/24-12/08,TBA, ,
NR,12462,EMCH,799,28,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Xingjian Xue (P),08/24-12/08,TBA, ,
NR,12463,EMCH,799,29,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,1,49,Lingyu Yu (P),08/24-12/08,TBA, ,
NR,12464,EMCH,799,30,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Sang Hee Won (P),08/24-12/08,TBA, ,
NR,12465,EMCH,799,31,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,0,50,Michael Johannes L Van Tooren (P),08/24-12/08,TBA, ,
NR,22047,EMCH,799,32,COL,1.000-12.000,30 - Columbia Full Term,Thesis Preparation, ,TBA,50,1,49,Subramani Sockalingam (P),08/24-12/08,TBA, ,
NR,13425,EMCH,899,1,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,4,46,Sourav Banerjee (P),08/24-12/08,TBA, ,
NR,13429,EMCH,899,2,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,Abdel-Moez E. Bayoumi (P),08/24-12/08,TBA, ,
NR,13436,EMCH,899,3,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,1,49,Theodore Martin Besmann (P),08/24-12/08,TBA, ,
NR,13440,EMCH,899,4,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,Dan Gabriel Cacuci (P),08/24-12/08,TBA, ,
NR,13445,EMCH,899,5,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,Yuh Jin Chao (P),08/24-12/08,TBA, ,
NR,13449,EMCH,899,6,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,1,49,Fanglin Chen (P),08/24-12/08,TBA, ,
NR,13451,EMCH,899,7,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,1,49,Xiaomin Deng (P),08/24-12/08,TBA, ,
NR,13452,EMCH,899,8,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,5,45,Tanvir Igbal Farouk (P),08/24-12/08,TBA, ,
NR,13456,EMCH,899,9,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,6,44,Victor Giurgiutiu (P),08/24-12/08,TBA, ,
NR,13460,EMCH,899,10,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,Zafer Gurdal (P),08/24-12/08,TBA, ,
NR,13467,EMCH,899,11,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,1,49,Ramy Farid Harik (P),08/24-12/08,TBA, ,
NR,13470,EMCH,899,12,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,3,47,Kevin Huang (P),08/24-12/08,TBA, ,
NR,13476,EMCH,899,13,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,1,49,Xinyu Huang (P),08/24-12/08,TBA, ,
NR,13477,EMCH,899,14,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,6,44,Jamil A. Khan (P),08/24-12/08,TBA, ,
NR,13481,EMCH,899,15,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,3,47,Addis Asmelash Kidane (P),08/24-12/08,TBA, ,
NR,13482,EMCH,899,16,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,2,48,Travis W. Knight (P),08/24-12/08,TBA, ,
NR,13484,EMCH,899,17,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,10,40,Chen Li (P),08/24-12/08,TBA, ,
NR,13486,EMCH,899,18,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,Prasun Kanti Majumdar (P),08/24-12/08,TBA, ,
NR,13488,EMCH,899,19,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,Dale Allen McCants (P),08/24-12/08,TBA, ,
NR,13489,EMCH,899,20,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,Stephen R McNeill (P),08/24-12/08,TBA, ,
NR,13490,EMCH,899,21,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,Walter Hamilton Peters (P),08/24-12/08,TBA, ,
NR,13491,EMCH,899,22,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,Anthony P. Reynolds (P),08/24-12/08,TBA, ,
NR,13494,EMCH,899,23,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,David N. Rocheleau (P),08/24-12/08,TBA, ,
NR,13496,EMCH,899,24,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,Anthony Michael Scopatz (P),08/24-12/08,TBA, ,
NR,13499,EMCH,899,25,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,Tarek Michael Shazly (P),08/24-12/08,TBA, ,
NR,13500,EMCH,899,26,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,2,48,Michael Albert Sutton (P),08/24-12/08,TBA, ,
NR,13501,EMCH,899,27,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,Guiren Wang (P),08/24-12/08,TBA, ,
NR,13502,EMCH,899,28,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,1,49,Michael Johannes L Van Tooren (P),08/24-12/08,TBA, ,
NR,13503,EMCH,899,29,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,3,47,Xingjian Xue (P),08/24-12/08,TBA, ,
NR,13506,EMCH,899,30,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,Lingyu Yu (P),08/24-12/08,TBA, ,
NR,13508,EMCH,899,31,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,Sang Hee Won (P),08/24-12/08,TBA, ,
NR,22049,EMCH,899,32,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,0,50,Subramani Sockalingam (P),08/24-12/08,TBA, ,
NR,22050,EMCH,899,33,COL,1.000-12.000,30 - Columbia Full Term,Dissertation Preparation, ,TBA,50,1,49,Yi Wang (P),08/24-12/08,TBA, ,
